,IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP25,IP_PROP106,IP_PROP28,IP_PROP272,IP_PROP239,IP_PROP328,IP_PROP240,IP_PROP26,IP_PROP270,IP_PROP27,IC_GROUP0,IC_GROUP1,IC_GROUP2,City
0,10777,Фирменный салон Albero,10777,Y,,,,,text,/upload/iblock/a79/0gjve9uyfp9t8gkrp6n7afo65ncdp3j3.PNG,,text,firmennyy-salon-albero-1,500,,"ТВК Калейдоскоп, ул. Карла Маркса площадь,  6/1, 1 этаж",,41.0,/upload/iblock/e6d/vq2q4bfmwhw16u0ihulq63ymf6kmlsj1.PNG,2709,,,73832075483,salon,"54.980655484739,82.895274040008",,,,Новосибирск
1,10779,Фирменный салон Albero,10779,Y,,,,,text,/upload/iblock/eca/ryvmg3fuejxzyu7f4afc6v22takh0c4h.PNG,,text,firmennyy-salon-albero 11,500,,"ул. Светлановская, 50",,41.0,/upload/iblock/3ac/l0hyuesv02qlv8g142nduy5hwd719he6.PNG,2709,,c 10:00 до 21:00,73832075483,salon,"55.081421932291,82.932716922795",,,,Новосибирск
2,11097,Фирменный салон Albero,11097,Y,,,,,text,/upload/iblock/b9a/thn0nitqu6p9ghrhgnriyeeozxrmndoq.PNG,,text,firmennyy-salon-albero-2,500,,ул. Сибиряков-Гвардейцев 49/3,,41.0,,2709,,,73832075483,salon,"54.949683069758,82.924270686508",,,,Новосибирск
3,11099,ТОО «Граффити – Ж»,11099,Y,,,,,text,,,text,too-graffiti-zh,500,,Молокова 119/1,,11098.0,,134,,09:00 до 18:00,77212502444,shop,"49.782393361338,73.10094514418",,,,Караганда
4,11100,ТОО «Граффити – Ж»,11100,Y,,,,,text,,,text,too-graffiti-zh_1,500,,Складская 15,,11098.0,,134,,09:00 до 18:00,77212502624,shop,"49.804765691966,73.114005304893",,,,Караганда
5,11104,Магазин «Мираж»,11104,Y,,,,,text,/upload/iblock/2e8/tjfn57pu0bab1g10lg9l3kxchtqfzp9y.jpg,,text,magazin-mirazh,500,,ул.Толстого 30 ,,11103.0,,151,,c 10:00 до 19:00,77182619330,shop,"52.275651721063,76.952516432541",,,,Павлодар
6,11105,ТД «Практик»,11105,Y,,,,,text,/upload/iblock/837/8oftwhg9s7fno0au1r72keag35vhetlk.jpg,,text,td-praktik,500,,ул.Естая 77,,11103.0,,151,,c 10:00 до 19:00,77182327445,shop,"52.281016553973,76.956471228836",,,,Павлодар
7,11107,Региональный склад ALBERO,11107,Y,,,,,text,,,text,regionalnyy-sklad-albero_3,500,,"ул. Академика Вонсовского, 1А",alfa-dveri@mail.ru,11106.0,,2298,,09:00 до 18:00,73433573161,salon,"56.77637144546,60.565677601852",,,,Екатеринбург
8,11111,Региональный склад ALBERO,11111,N,,,,,text,,,text,regionalnyy-sklad-albero,500,,"Московская область, Люберецкий район, пос.Томилино, мкр. Птицефабрика, лит. 46/3 ",mosopt1@fregatmd.ru,11110.0,,19,,,79100036777,shop,"55.648475517638,37.932068157424",,,,рабочий посёлок Томилино
9,11111,Региональный склад ALBERO,11111,N,,,,,text,,,text,regionalnyy-sklad-albero,500,,"Московская область, Люберецкий район, пос.Томилино, мкр. Птицефабрика, лит. 46/3 ",mosopt1@fregatmd.ru,11110.0,,19,,,74952203605 ,shop,"55.648475517638,37.932068157424",,,,рабочий посёлок Томилино
10,13449,Фирменный салон Albero,13449,Y,,,,,text,/upload/iblock/579/fph1r256qa4twiz3r8k41bomf8t7l3k4.jpg,,text,firmennyy-salon-albero_kras_1,500,,"ул. 2-ая Брянская 34, строение 6",www.alberodoors.com,13407.0,,2563,,09:00 до 18:00,79130316600,salon,"56.045315052477,92.857171521503",,,,Красноярск
11,14615,Фирменный салон Albero,14615,Y,,,,,text,/upload/iblock/101/qcq6p1k54lq6702swcvgnhrxry403y33.jpg,,text,firmennyy-salon-albero_kras_2,500,,ЖК Фрегат ул. Краснодарская 8,www.alberodoors.com,13407.0,,2563,,10:00 до 19:00,73912086600,salon,"56.046089053796,92.940727085694",,,,Красноярск
12,14616,"Гипермаркет ""Роща""",14616,Y,,,,,text,/upload/iblock/6dc/swujf204hkv6eqoepqd5drn5q9wri0ak.PNG,,text,ao-profstal,500,,"ТЦ Роща, ул. Березовая Роща, 5А",,14617.0,,2510,,09:00 до 21:00,73952763176,shop,"52.264637758241,104.23180980574",,,,Иркутск
13,14618,Салон дверей MeGa Двери,14618,Y,,,,,text,/upload/iblock/1f2/fz6d4zl4hnj2ttztlz9n1pp9rqr5wcj3.PNG,,text,salon-dverey-mega-dveri_3,500,,"ТЦ Версаль, ул. Академическая, 31 (пав.18)",,14617.0,/upload/iblock/d91/520g9r991azi09ncsc13immiecy7enm9.PNG,2510,,с 09:00 до 20:00,79501446833,shop,"52.233440677053,104.30198803564",,,,Иркутск
14,14619,Салон дверей MeGa Двери,14619,Y,,,,,text,/upload/iblock/055/j6s5e50sl8vom99yv2iyl1zxhiiw2pnf.PNG,,text,salon-dverey-mega-dveri_1,500,,"ТЦ Город Мастеров, ул. Шевцова, 4 ",,14617.0,,2510,,10:00 до 18:00,79501277737,shop,"52.30542973354,104.29377603265",,,,Иркутск
15,14620,Салон дверей MeGa Двери,14620,Y,,,,,text,/upload/iblock/1a2/dfkt87vyccrd6bcvzgnavjtb8igq6qfe.png,,text,salon-dverey-mega-dveri_4,500,,"ТЦ Дока, ул. Байкальская, 244 а",,14617.0,,2510,,09:00 до 19:00,73952455355,shop,"52.255247927859,104.33396084252",,,,Иркутск
16,14621,Салон дверей MeGa Двери,14621,Y,,,,,text,/upload/iblock/6ef/egersec2vpt7tuinult0xwzf062khvjz.PNG,,text,salon-dverey-mega-dveri,500,,"ТРЦ Mega Home, ул. ​Сергеева, 3Б/1",,14617.0,/upload/iblock/51e/bexlj8ce3qxnl9511oswrm8o67dxgqvy.PNG,2510,,c 10:00 до 19:00,79249904411,shop,"52.266548573772,104.22238904454",,,,Иркутск
17,14622,Салон дверей MeGa Двери,14622,Y,,,,,text,/upload/iblock/5bd/7dxqz79ldnqtx825hfqj68d5fzkgtcun.PNG,,text,salon-dverey-mega-dveri_2,500,,"ТЦ Электрон, ул. Октябрьской революции, 1 к3",,14617.0,,2510,,10:00 до 19:00,79148950294,shop,"52.295522430774,104.29308345197",,,,Иркутск
18,14623,Салон дверей MeGa Двери,14623,Y,,,,,text,/upload/iblock/64e/66tlf1hc23imib3dpz07vjw3agytx4ld.PNG,,text,salon-dverey-mega-dveri_7,500,,"ул. Сурнова, 22/8",,14617.0,,2510,,10:00 до 17:00,73952779712,shop,"52.310367139578,104.29217578581",,,,Иркутск
